TRAIL NUM,1k SELECT,1k DELETE,1k INSERT,1k UPDATE,100K SELECT,100K DELETE,100K INSERT,100K UPDATE
0,0.16019870000000025,0.33034279999999994,0.3360470999999998,0.3340603,0.1866917999999913,0.33578149999999596,0.32631030000000294,0.3485903000000121
1,0.15960390000000002,0.32631460000000034,0.3286465999999999,0.33697279999999985,0.18648790000000304,0.3248466999999948,0.32640380000000846,0.32897510000000807
2,0.15995399999999993,0.43382330000000024,0.32912589999999975,0.32664669999999996,0.18332709999999963,0.32565820000000656,0.3270056000000068,0.36224390000000994
3,0.15946879999999997,0.32856170000000073,0.3436893999999997,0.3351462999999999,0.18863600000000247,0.32584690000000194,0.3268723000000051,0.331260400000005
4,0.15896370000000015,0.3253900000000005,0.3254862999999997,0.3262806000000005,0.18875099999999634,0.34434399999999243,0.33994630000000825,0.32714909999999975
5,0.15958899999999954,0.3477598000000004,0.3286717000000001,0.3480100000000004,0.18181130000000678,0.33412859999999966,0.33969069999999135,0.33855540000000417
6,0.15876429999999964,0.3307064999999998,0.32381869999999857,0.3222151000000002,0.18708929999999668,0.3473108000000025,0.32210960000000455,0.3323767999999916
7,0.15981679999999976,0.34072630000000004,0.33216600000000085,0.3324361000000007,0.19372509999999465,0.32964670000001206,0.3251556999999963,0.34327189999999064
8,0.1604390999999996,0.3578820999999994,0.32864700000000013,0.32951200000000114,0.1854254999999938,0.32717050000000825,0.32765369999999905,0.3499852000000061
9,0.16220880000000015,0.3255617999999991,0.3450882999999987,0.3228458000000014,0.18326600000000326,0.3253442999999976,0.3270786000000214,0.3296880000000044
10,0.1605029000000009,0.32839820000000053,0.32746039999999965,0.3331994999999992,0.18859430000000543,0.32807529999999474,0.3293325000000209,0.3319327999999757
11,0.1600704000000004,0.3261478999999987,0.3263847999999996,0.33980810000000083,0.18352040000002035,0.32449600000001055,0.3274389000000042,0.32477839999998537
12,0.15971769999999985,0.3279923,0.3282197,0.3381684000000007,0.18935519999999428,0.3272056000000134,0.3264372999999807,0.33181730000001153
13,0.1593870000000024,0.3244675999999984,0.33533869999999766,0.340836300000003,0.1819011000000046,0.3420138000000179,0.3273106000000041,0.32435839999999416
14,0.1597369999999998,0.339777999999999,0.327960700000002,0.34884290000000107,0.18460740000000442,0.3282667999999944,0.34218179999999165,0.3648864000000174
15,0.1601265000000005,0.34677429999999987,0.32627199999999945,0.3251850999999988,0.19176770000001397,0.3271010000000274,0.3737640999999883,0.32828059999999937
16,0.1669079999999994,0.3352386000000003,0.3353632000000033,0.3327619000000013,0.18583709999998632,0.33487080000000446,0.3314003999999784,0.3778298999999947
17,0.15959299999999743,0.3249531999999995,0.3417431999999998,0.3352474000000001,0.18606220000000917,0.32877390000001583,0.3365110999999956,0.3252905999999882
18,0.15936040000000062,0.32840139999999707,0.3335606999999996,0.32205569999999994,0.18434239999999136,0.34686180000002764,0.32248160000000325,0.3315803999999787
19,0.15956440000000072,0.3359240000000021,0.340571299999997,0.3402901000000007,0.18880300000000716,0.325620200000003,0.32919159999997305,0.33262189999999237
20,0.1610693999999988,0.3240118999999986,0.32909899999999936,0.3419643999999984,0.18674219999999764,0.341762000000017,0.3276360999999781,0.32366919999998345
21,0.16095380000000148,0.3266947999999985,0.3268094000000019,0.3372107999999976,0.18303679999999645,0.33360419999999635,0.34736909999998034,0.32748490000000174
22,0.15922660000000022,0.3568072000000022,0.33038330000000116,0.3387397000000014,0.18661480000000097,0.3297304999999824,0.33087359999998966,0.3341922999999838
23,0.15940979999999882,0.34247020000000106,0.3252594999999978,0.3379361999999979,0.18069370000000617,0.32770199999998795,0.3294386999999972,0.3220699999999965
24,0.15973460000000017,0.3276512999999994,0.3304849999999995,0.3243786999999969,0.18479209999998147,0.3400624999999877,0.33534260000001836,0.3417259999999942
25,0.15964710000000082,0.3270965999999973,0.32721989999999934,0.335768299999998,0.18960069999999973,0.3281697000000179,0.3299724000000026,0.33000069999999937
26,0.160286499999998,0.32843469999999897,0.33240260000000177,0.3215330999999999,0.18512710000001675,0.3276593999999875,0.326805400000012,0.33544790000001967
27,0.15958950000000272,0.327681400000003,0.32716299999999876,0.3327707999999987,0.18759330000000318,0.3274300999999866,0.3293812999999943,0.3440069000000108
